keyword,diagnosis,advice
pain,Arthritis/Injury,Rest joint apply ice for acute heat for stiff
joint,Arthritis,Persistent pain needs X-ray and Rheumatologist
swelling,Sprain/Bursitis,RICE method Rest Ice Compression Elevation
stiff,Ankylosing Spondylitis,Morning stiffness >30 mins needs checkup
crack,Fracture,Heard a crack and cannot move it go to ER
snap,Ligament Tear,Sharp popping sound followed by pain needs MRI
back,Disc Herniation,Avoid heavy lifting if leg pain see physio
knee,ACL Injury,Knee giving way or locking needs brace and MRI
calcium,Osteoporosis,Bones weakening take Calcium Vitamin D3 daily
vitamin d,Bone Health,Sunlight exposure crucial low D causes ache
posture,Scoliosis,Curved spine causes pain needs physio
wrist,Carpal Tunnel,Numbness in fingers use splint at night
fracture,Broken Bone,Immobilize limb do not massage go to Hospital
limp,Hip Issue,Limping indicates damage avoid walking
gout,Uric Acid,Severe big toe pain avoid red meat alcohol
shoulder,Frozen Shoulder,Restricted movement needs stretching exercises
neck,Tech Neck,Pain from looking down at phone stretch often
weak,Osteoporosis,Bones break easily fall prevention is key
spine,Vertebrae,Protect spine lift with knees not back
disk,Sciatica,Shooting pain down leg rest and physio
femur,Thigh Bone,Strongest bone severe pain means major break call 911
tibia,Shin Bone,Pain in front of leg shin splints rest
fibula,Leg Bone,Outer leg pain often ankle fractures
humerus,Arm Bone,Upper arm pain check for dislocation
radius,Forearm,Wrist pain often breaks trying to break a fall
ulna,Elbow,Funny bone pain is nerve strike usually harmless
rib,Rib Fracture,Pain breathing deep protect chest heal naturally
skull,Head Injury,Dents or cracks after fall CRITICAL call 911
jaw,TMJ,Clicking jaw grind teeth wear night guard
clavicle,Collarbone,Common break in falls sling arm see doctor
pelvis,Hip Fracture,Cannot stand leg shortened call Ambulance
tailbone,Coccyx,Pain sitting use donut cushion heals slowly
cartilage,Joint Cushion,Wear and tear causes grinding glucosamine helps
ligament,Connector,Connects bone to bone sprains take weeks to heal
tendon,Connector,Connects muscle to bone strains need rest
meniscus,Knee Cushion,Locking knee pain twisting injury needs MRI
bursitis,Inflammation,Fluid sac swelling rest and anti-inflammatories
tendonitis,Inflammation,Overuse injury rest and ice area
arthritis,Wear and Tear,Osteoarthritis is aging stay active
rheumatoid,Autoimmune,Body attacks joints needs immune meds
lupus,Autoimmune,Joint pain and butterfly rash see specialist
psoriatic,Autoimmune,Skin rash and joint pain linked
septic,Infection,Hot red swollen joint EMERGENCY needs antibiotics
osteomyelitis,Bone Infection,Deep bone pain fever needs IV antibiotics
cancer,Bone Tumor,Deep night pain unexplained fracture see oncologist
metastasis,Spread,Cancer spread to bone severe pain
rickets,Vitamin D,Soft bones in kids bowed legs needs Vitamin D
scurvy,Vitamin C,Bleeding gums and bone pain eat oranges
milk,Calcium,Dairy helps bone density drink daily
cheese,Calcium,Good source but watch fat content
yogurt,Calcium,Probiotics and calcium good for bones
spinach,Calcium,Plant source but hard to absorb
almonds,Magnesium,Good for bone strength eat handful
salmon,Vitamin D,Fatty fish boosts bone health
sun,Vitamin D,15 mins sun daily helps absorb calcium
eggs,Vitamin D,Yolk contains bone vitamins
exercise,Density,Weight bearing exercise hardens bones
walk,Density,Walking preserves hip bone density
run,Impact,High impact builds bone but watch knees
swim,Non-Impact,Good for joints bad for density
weights,Strength,Lifting weights prevents osteoporosis
smoking,Bone Loss,Nicotine blocks calcium absorption quit now
alcohol,Bone Loss,Excess drinking weakens bones fracture risk
caffeine,Calcium Loss,Soda leaches calcium from bones limit it
steroids,Medication,Long term use thins bones take supplements
menopause,Estrogen Loss,Bone loss speeds up check density
elderly,Fall Risk,Remove rugs install grab bars
baby,Soft Bones,Skull is soft protect head
growth,Pains,Kids leg pain at night massage helps
splint,Support,Holds bone in place for healing
cast,Immobilizer,Plaster or fiberglass keep dry
surgery,Fixation,Pins and plates hold bad breaks
physio,Rehab,Vital to move after cast removal
massage,Muscle,Helps muscle around bone not directly on break
chiropractor,Alignment,Adjustments help back pain use caution
acupuncture,Pain Relief,Needles reduce joint inflammation
heat,Stiffness,Hot bath loosens stiff joints
ice,Swelling,Cold pack reduces acute injury swelling
brace,Support,Knee or ankle brace prevents re-injury
crutches,Mobility,Keep weight off injured leg
wheelchair,Mobility,For severe pelvic or leg fractures
xray,Imaging,Sees breaks and alignment
mri,Imaging,Sees soft tissue ligaments and disks
ct scan,Imaging,3D view of complex fractures
dexa,Density Scan,Checks for osteoporosis painless
biopsy,Test,Checks for bone infection or cancer
collagen,Protein,Building block of bone broth helps.
