keyword,diagnosis,advice
thirst,Hyperglycemia,Excessive thirst classic sign check sugar
urine,Polyuria,Frequent urination body flushing sugar
hungry,Polyphagia,Constant hunger cells starving for energy
weight,Type 1,Unexplained weight loss red flag see doctor
blur,Retinopathy,Blurry vision sugar damaging eyes
numb,Neuropathy,Tingling in feet nerves damaged check daily
cut,Slow Healing,High sugar prevents healing infection risk
dizzy,Hypoglycemia,Low sugar eat candy or juice immediately
shake,Hypoglycemia,Trembling hands sugar crashing drink soda
sweat,Hypoglycemia,Cold sweat and hunger means low sugar
coma,Ketoacidosis,Fruity breath confusion call Ambulance
insulin,Hormone,Missed dose take immediately monitor ketones
feet,Foot Care,Check for cuts daily loss of feeling is dangerous
sugar,Diet,Avoid white bread rice sweets eat protein
dry,Dehydration,Dry mouth common in high sugar drink water
fatigue,Resistance,Tired after meals insulin not working
a1c,Long Term,Test every 3 months target under 7
fasting,Test,Sugar level before eating target 80-130
postprandial,Test,Sugar 2 hours after meal target under 180
type 1,Autoimmune,Pancreas makes no insulin needs shots life long
type 2,Lifestyle,Body resists insulin diet and exercise help
gestational,Pregnancy,High sugar during pregnancy affects baby
prediabetes,Warning,Sugar high but reversible diet now
metformin,Medication,Helps body use insulin take with food
glipizide,Medication,Stimulates pancreas watch for lows
pump,Device,Delivers insulin continuously change site
cgm,Sensor,Continuous monitor tracks trends
strip,Test,Check expiration on test strips
lancet,Needle,Change daily to avoid pain
keto,Diet,Low carb diet helps control sugar consult doctor
fiber,Diet,Slows sugar absorption eat beans oats
protein,Diet,Stabilizes blood sugar eat chicken fish
fat,Diet,Healthy fats okay avoid trans fats
alcohol,Risk,Can cause sudden low sugar eat while drinking
exercise,Control,Lower sugar naturally walk 30 mins
stress,Trigger,Stress raises blood sugar breathe deep
sick,Sick Day,Illness raises sugar test often drink water
travel,Planning,Pack extra supplies carry snacks
driving,Safety,Check sugar before driving keep candy in car
identification,Safety,Wear medical bracelet in case of emergency
gangrene,Complication,Black toe tissue death amputation risk
kidney,Nephropathy,High sugar kills kidneys drink water
heart,Risk,Diabetes doubles heart attack risk manage BP
stroke,Risk,High sugar damages brain vessels
gum,Disease,High sugar feeds mouth bacteria brush well
skin,Infection,Yeast infections common keep dry
yeast,Infection,Itching common with high sugar
impotence,ED,Nerve damage affects function see doctor
depression,Mental Health,Chronic disease is hard seek support
burnout,Mental Health,Tired of managing diabetes take a break
family,Genetics,Runs in families watch kids diet
obesity,Risk Factor,Belly fat causes insulin resistance
apple,Fruit,Eat with skin good fiber
juice,Warning,Liquid sugar spikes level fast avoid
soda,Warning,Worst drink for diabetics switch to water
water,Hydration,Best drink dilutes sugar
cinnamon,Spice,May help lower sensitivity not a cure
vinegar,Diet,Apple cider vinegar may help sensitivity
sleep,Rest,Poor sleep raises cortisol and sugar
smoking,Danger,Constricts vessels leg amputation risk
blood pressure,Control,Keep under 130/80 vital for kidneys
cholesterol,Control,Statins often needed to protect heart
shoes,Foot Care,Wear comfortable shoes never go barefoot
lotion,Skin Care,Moisturize feet but not between toes
socks,Foot Care,White cotton socks show bleeding
corns,Foot Care,Do not cut yourself see podiatrist
callus,Foot Care,Thick skin indicates pressure points
toenail,Foot Care,Cut straight across avoid ingrowns
thermometer,Water Safety,Test bath water numb feet burn easily
heater,Safety,Do not put feet near heater burn risk
mirror,Foot Check,Use mirror to see bottom of feet
doctor,Checkup,See endocrinologist every 3-6 months
dietitian,Support,Meal planning helps control levels
educator,Support,Learn how to adjust doses
emergency,Kit,Keep glucagon kit for severe lows
glucagon,Injection,Saves life in unconscious low sugar
candy,Rescue,Carry 15g sugar for lows at all times
honey,Rescue,Rub on gums if person groggy
baking soda,Myth,Does not cure diabetes see doctor
okra,Myth,Soaked water is healthy but not insulin
bitter melon,Food,Traditional remedy helpful but keep meds
fenugreek,Herb,Seeds may lower sugar slightly
stevia,Sweetener,Safe sugar substitute natural
aspartame,Sweetener,Safe in moderation
sucralose,Sweetener,Safe for baking
fructose,Fruit Sugar,Better than sucrose but count carbs
carbs,Nutrient,Turn to sugar count them carefully
label,Reading,Check total carbohydrates not just sugar.
